title,date,raw_date,place,summary,url,supplements
Телефонный разговор с Премьер-министром Армении Николом Пашиняном,2025-01-17,17 января 2025 года,No location,"По инициативе армянской стороны состоялся телефонный разговор Владимира Путина с Премьер-министром Республики Армения
Николом Пашиняном.",http://kremlin.ru/events/president/news/76123,[]
Переговоры с Президентом ЦАР Фостеном Арканжем Туадерой,2025-01-16,16 января 2025 года,"Москва, Кремль","В Кремле
прошли переговоры Владимира Путина с Президентом Центральноафриканской
Республики Фостеном Арканжем Туадерой, который находится в России
с официальным визитом.",http://kremlin.ru/events/president/news/76114,"[{'title': 'No title', 'date': None, 'content': 'Участники российско-центральноафриканских переговоров  16 января 2025 года     С\xa0центральноафриканской стороны:Фостен Арканж ТУАДЕРА\xa0– Президент Центральноафриканской\nРеспублики Сильви Валери БАЙПО ТЕМОН\xa0– Министр\nиностранных дел, франкофонии и\xa0по\xa0делам центральноафриканцев за\xa0рубежом\nЦентральноафриканской РеспубликиРамо Клод БИРО\xa0– Министр\nнациональной обороны и\xa0восстановления армии Центральноафриканской РеспубликиГисмала ХАМЗА\xa0– Министр\nсельского хозяйства и\xa0развития сельских территорий Центральноафриканской РеспубликиРюффен БЕНАМ БЕЛТУНГУ\xa0– Министр шахт\nи\xa0геологии Центральноафриканской РеспубликиОбед НАМСИО\xa0– Государственный\nМинистр, руководитель Администрации Президента Центральноафриканской РеспубликиОноре ФЕЙЗУРЕ\xa0– Министр-советник\nпо\xa0вопросам сельского хозяйства Администрации Президента Центральноафриканской РеспубликиАльбер МОКПЕМ ЙАЛОКЕ\xa0– Министр-советник\nпо\xa0вопросам коммуникаций Администрации Президента Центральноафриканской РеспубликиУсман Мохамаду ТЕНГЕРЕ\xa0– Министр-советник\nпо\xa0вопросам международного сотрудничества Администрации Президента\nЦентральноафриканской РеспубликиЛеон ДОДОНУ ПУНАГАЗА\xa0– Чрезвычайный\nи\xa0Полномочный Посол Центральноафриканской Республики в\xa0Российской\nФедерацииС\xa0российской стороны:ЛАВРОВ Сергей Викторович\xa0– Министр\nиностранных дел Российской ФедерацииНОВАК Александр Валентинович\xa0–\nЗаместитель Председателя Правительства Российской ФедерацииУШАКОВ Юрий Викторович\xa0– помощник\nПрезидента Российской ФедерацииБИКАНТОВ Александр Михайлович\xa0– Чрезвычайный и\xa0Полномочный Посол Российской Федерации в\xa0Центральноафриканской\nРеспублике ЛУТ Оксана Николаевна\xa0– Министр\nсельского хозяйства Российской ФедерацииШУГАЕВ\nДмитрий Евгеньевич\xa0– директор Федеральной службы по\xa0военно-техническому\nсотрудничествуБОГДАНОВ\nМихаил Леонидович\xa0– специальный представитель Президента Российской Федерации по\xa0Ближнему Востоку и\xa0странам Африки, заместитель Министра иностранных дел Российской\nФедерацииЕВКУРОВ Юнус-Бек\nБаматгиреевич\xa0– заместитель Министра обороны Российской ФедерацииАВЕРЬЯНОВ\nАндрей Владимирович\xa0– заместитель начальника Главного управления Генерального штаба Вооружённых Сил Российской Федерации   Смотрите также  Переговоры с\xa0Президентом ЦАР Фостеном Арканжем Туадерой 16 января 2025 года', 'url': 'http://kremlin.ru/supplement/6256'}]"
Указ о присвоении почётного звания Российской Федерации «Город трудовой доблести»,2025-01-15,15 января 2025 года,No location,Владимир Путин подписал Указ «О присвоении почетного звания Российской Федерации «Город трудовой доблести».,http://kremlin.ru/events/president/news/76112,[]
Указ о единовременной выплате некоторым категориям граждан в связи с 80-летием Победы,2025-01-15,15 января 2025 года,No location,Президент подписал Указ «О единовременной выплате некоторым категориям граждан Российской Федерации в связи с 80-й годовщиной Победы в Великой Отечественной войне 1941–1945 годов».,http://kremlin.ru/events/president/news/76111,[]
Заседание Российского организационного комитета «Победа»,2025-01-15,15 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин провёл
в режиме видеоконференции заседание Российского организационного комитета
«Победа».",http://kremlin.ru/events/president/news/76110,"[{'title': 'No title', 'date': None, 'content': 'Участники заседания Российского организационного комитета «Победа»\n(в\xa0режиме видеоконференции)  15 января 2025 года     Члены Российского организационного комитета «Победа»:ШОЙГУ Сергей Кужугетович\xa0– Секретарь Совета Безопасности Российской ФедерацииМАНТУРОВ Денис Валентинович\xa0– Первый заместитель Председателя Правительства Российской Федерации КИРИЕНКО Сергей Владиленович\xa0– первый заместитель Руководителя Администрации Президента Российской Федерации (первый заместитель председателя Комитета)ГОЛИКОВА Татьяна Алексеевна\xa0– Заместитель Председателя Правительства Российской Федерации ТРУТНЕВ Юрий Петрович\xa0– Заместитель Председателя Правительства Российской Федерации\xa0– полномочный представитель Президента Российской Федерации в\xa0Дальневосточном федеральном округеЖУКОВ Александр Дмитриевич\xa0– первый заместитель Председателя Государственной Думы Федерального Собрания Российской Федерации (заместитель председателя Комитета)ВОРОБЬЁВ Юрий Леонидович\xa0– заместитель Председателя Совета Федерации Федерального Собрания Российской Федерации (заместитель председателя Комитета)БРЫЧЁВА Лариса Игоревна\xa0– помощник Президента Российской Федерации\xa0– начальник Государственно-правового управления Президента Российской Федерации МЕДИНСКИЙ Владимир Ростиславович\xa0– помощник Президента Российской Федерации ШАЛЬКОВ Дмитрий Владиславович\xa0– помощник Президента Российской Федерации\xa0– начальник Контрольного управления Президента Российской ФедерацииБЕЛОУСОВ Андрей Рэмович\xa0– Министр обороны Российской ФедерацииКОЛОКОЛЬЦЕВ Владимир Александрович\xa0– Министр внутренних дел Российской ФедерацииЛАВРОВ Сергей Викторович\xa0– Министр иностранных дел Российской ФедерацииДЕГТЯРЁВ Михаил Владимирович\xa0– Министр спорта Российской ФедерацииКОТЯКОВ Антон Олегович\xa0– Министр труда и\xa0социальной защиты Российской ФедерацииКРАВЦОВ Сергей Сергеевич\xa0– Министр просвещения Российской ФедерацииМУРАШКО Михаил Альбертович\xa0– Министр здравоохранения Российской ФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр строительства и\xa0жилищно-коммунального хозяйства Российской Федерации ФАЛЬКОВ Валерий Николаевич\xa0– Министр науки и\xa0высшего образования Российской Федерации ГУЦАН Александр Владимирович\xa0– полномочный представитель Президента Российской Федерации в\xa0Северо-Западном федеральном округе ЖОГА Артём Владимирович\xa0– полномочный представитель Президента Российской Федерации в\xa0Уральском федеральном округе КОМАРОВ Игорь Анатольевич\xa0– полномочный представитель Президента Российской Федерации в\xa0Приволжском федеральном округеСЕРЫШЕВ Анатолий Анатольевич\xa0– полномочный представитель Президента Российской Федерации в\xa0Сибирском федеральном округе УСТИНОВ Владимир Васильевич\xa0– полномочный представитель Президента Российской Федерации в\xa0Южном федеральном округеЧАЙКА Юрий Яковлевич\xa0– полномочный представитель Президента Российской Федерации в\xa0Северо-Кавказском федеральном округе ЩЁГОЛЕВ Игорь Олегович\xa0– полномочный представитель Президента Российской Федерации в\xa0Центральном федеральном округеБОРТНИКОВ Александр Васильевич\xa0– директор Федеральной службы безопасности Российской ФедерацииКОЧНЕВ Дмитрий Викторович\xa0– директор Федеральной службы охраны Российской ФедерацииКОЛПАКОВ Александр Сергеевич\xa0– управляющий делами Президента Российской ФедерацииБАСТРЫКИН Александр Иванович\xa0– Председатель Следственного комитета Российской Федерации ГУРОВ Григорий Александрович\xa0– руководитель Федерального агентства по\xa0делам молодёжиГОРЕМЫКИН Виктор Петрович\xa0– заместитель Министра обороны Российской Федерации\xa0– начальник Главного военно-политического управления Вооружённых Сил Российской ФедерацииНОВИКОВ Сергей Геннадьевич\xa0– начальник Управления Президента Российской Федерации по\xa0общественным проектам (ответственный секретарь Комитета)ОСИПОВ Владимир Борисович\xa0– начальник Управления Президента Российской Федерации по\xa0государственным наградамЦУНАЕВА Елена Моисеевна\xa0– ответственный секретарь Общероссийского общественного движения по\xa0увековечению памяти погибших при защите Отечества «Поисковое движение России», первый заместитель председателя Комитета Государственной Думы по\xa0труду, социальной политике и\xa0делам ветерановШАМАНОВ Владимир Анатольевич\xa0– президент Общероссийской общественной организации «Российская Ассоциация Героев», Герой Российской Федерации, заместитель председателя Комитета Государственной Думы по\xa0развитию гражданского общества, вопросам общественных и\xa0религиозных объединений ГАЙНУТДИН Равиль (Гайнутдинов Равиль Исмагилович)\xa0– муфтий, председатель Совета муфтиев России, председатель Духовного управления мусульман Российской ФедерацииЕРМАКОВ Виктор Федорович\xa0– председатель совета Общероссийской общественной организации ветеранов Вооружённых Сил Российской Федерации КУЛИКОВ Анатолий Сергеевич\xa0– президент автономной некоммерческой организации «Клуб военачальников Российской Федерации»ЛЕГОЙДА Владимир Романович\xa0– председатель Синодального отдела Русской православной церкви по\xa0взаимоотношениям Церкви с\xa0обществом и\xa0средствами массовой информацииПриглашённые:ЯКУШЕВ Владимир Владимирович\xa0– первый заместитель Председателя Совета Федерации Федерального Собрания Российской Федерации, секретарь Генерального совета Всероссийской политической партии «Единая Россия»КРАСНИКОВ Геннадий Яковлевич\xa0– президент Российской академии наукЦИВИЛЕВА Анна Евгеньевна\xa0– статс-секретарь\xa0– заместитель Министра обороны Российской Федерации, председатель Государственного фонда поддержки участников специальной военной операции «Защитники Отечества»МАЛЫШЕВА Елена Петровна\xa0– руководитель Национального центра исторической памяти при Президенте Российской Федерации    Смотрите также  Заседание Российского организационного комитета «Победа» 15 января 2025 года', 'url': 'http://kremlin.ru/supplement/6255'}]"
Совещание по вопросам социально-экономического развития Крыма и Севастополя,2025-01-14,14 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин в режиме
видеоконференции провёл совещание по вопросам социально-экономического
развития Республики Крым и города Севастополя.",http://kremlin.ru/events/president/news/76104,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания по\xa0вопросам социально-экономического развития Республики Крым и\xa0Севастополя (в\xa0режиме видеоконференции)  14 января 2025 года     КИРИЕНКО Сергей\xa0Владиленович\xa0–\xa0Первый заместитель Руководителя Администрации Президента\xa0Российской ФедерацииХУСНУЛЛИН Марат Шакирзянович\xa0– Заместитель Председателя Правительства Российской ФедерацииФАЙЗУЛЛИН Ирек Энварович\xa0– Министр\nстроительства и\xa0жилищно-коммунального хозяйства Российской ФедерацииАКСЁНОВ Сергей Валерьевич\xa0– Глава Республики КрымРАЗВОЖАЕВ Михаил Владимирович\xa0– губернатор города СевастополяВАХРУКОВ Дмитрий\nСергеевич\xa0– заместитель Министра\nэкономического развития Российской ФедерацииКАДОЧНИКОВ Павел Анатольевич\xa0– заместитель Министра финансов Российской ФедерацииАЛЕКСАНДРОВА Мария\nАлександровна\xa0– ректор Федерального бюджетного образовательного учреждения\nвысшего образования «Академия хореографии»   Смотрите также  Совещание по\xa0вопросам социально-экономического развития Крыма и\xa0Севастополя 14 января 2025 года', 'url': 'http://kremlin.ru/supplement/6254'}]"
"17 января состоятся переговоры Владимира Путина с Президентом Исламской Республики Иран Масудом Пезешкианом, который прибудет в Россию с официальным визитом",,No date,No location,,http://kremlin.ru/events/president/news/76101,[]
Встреча с главой РФПИ Кириллом Дмитриевым,2025-01-13,13 января 2025 года,"Москва, Кремль","Владимир Путин провёл встречу с генеральным директором
Российского фонда прямых инвестиций Кириллом Дмитриевым. Обсуждались текущие проекты РФПИ в промышленной,
энергетической, транспортной и фармацевтической отраслях, а также в сфере
искусственного интеллекта.",http://kremlin.ru/events/president/news/76099,[]
Поздравление по случаю Дня работника прокуратуры,2025-01-12,12 января 2025 года,No location,"Президент
поздравил работников и ветеранов органов прокуратуры Российской Федерации
с профессиональным праздником.",http://kremlin.ru/events/president/news/76097,[]
Рабочая встреча с врио губернатора Курской области Александром Хинштейном,2025-02-05,5 февраля 2025 года,"Москва, Кремль","Президент
встретился в Кремле с временно исполняющим обязанности губернатора Курской
области.",http://kremlin.ru/events/president/news/76214,[]
Объявлены лауреаты премии Президента в области науки и инноваций для молодых учёных за 2024 год,2025-02-05,5 февраля 2025 года,Москва,"Имена
лауреатов на пресс-конференции объявили помощник Президента Андрей Фурсенко и председатель
Координационного совета по делам молодёжи в научной
и образовательной сферах Совета при Президенте по науке
и образованию Никита Марченков.",http://kremlin.ru/events/president/news/76210,"[{'title': 'No title', 'date': None, 'content': 'О\xa0лауреатах премии Президента в\xa0области науки и\xa0инноваций для молодых учёных за\xa02024\xa0год  5 февраля 2025 года     Елена\nАлександровна Корочкина\xa0– лауреат премии Президента Российской Федерации в\xa0области науки и\xa0инноваций для молодых учёных за\xa02024\xa0годПремия\nприсуждена за\xa0разработку инновационных методов эффективной реализации\nгенетического и\xa0репродуктивного потенциала животноводства в\xa0России.Елена\nАлександровна Корочкина родилась 17\xa0декабря 1988\xa0года в\xa0городе\nНазарово, Красноярский край, профессор кафедры генетических и\xa0репродуктивных\nбиотехнологий Санкт-Петербургского государственного университета ветеринарной\nмедицины, доктор ветеринарных наук.Область\nнаучных интересов: ветеринария, репродуктивные биотехнологии. Публикационная\nактивность: более 200\xa0публикаций в\xa0российских и\xa0зарубежных изданиях.Работа\nЕ.Корочкиной посвящена разработке инновационных способов витаминно-минерального\nпитания коров в\xa0разные фазы производственного цикла и\xa0модификации протоколов\nсохранения генетического материала высокоценных производителей\nсельскохозяйственных животных (криоконсервация спермы козлов, баранов и\xa0быков).Е.Корочкина\nна\xa0основе многолетних исследований биохимических и\xa0клинических показателей\nкрови коров в\xa0разные фазы производственного цикла с\xa0меняющейся интенсивностью\nвнешнего воздействия разработала инновационные кормовые добавки\xa0–\nрастительно-минеральные и\xa0минеральные комплексы краткосрочного и\xa0пролонгированного действия. Данные добавки прошли апробацию в\xa0производственных\nусловиях на\xa0большом поголовье крупного рогатого скота средней и\xa0высокой\nмолочной продуктивности Северо-Западного региона РФ и\xa0запатентованы. Е.Корочкиной\nизучены и\xa0предложены новые способы коррекции отрицательного воздействия\nстресс-факторов на\xa0воспроизводительную способность самцов, модифицированы\nпротоколы сохранения генетического материала и\xa0разработана модель\nсреды-разбавителя для долгосрочного хранения генетического материала\nвысокоценных сельскохозяйственных животных. Разработанные образцы\nсреды-разбавителя позволяют сформировать банк репродуктивных клеток для\nразвития животноводства в\xa0России.Научные\nрезультаты Е.Корочкиной расширили и\xa0дополнили фундаментальные знания о\xa0физиологическом состоянии организма сельскохозяйственных животных при\nвозрастающей производственной нагрузке, направленной на\xa0повышение\nпродуктивности и\xa0воспроизводительной способности.* * *Вадим\nИгоревич Попков и\xa0Кирилл Дмитриевич Мартинсон\xa0– лауреаты премии Президента\nРоссийской Федерации в\xa0области науки и\xa0инноваций для молодых учёных за\xa02024\xa0годПремия\nприсуждена за\xa0разработку и\xa0внедрение технологии получения многокомпонентных\nферритов и\xa0создание керамических изделий на\xa0их основе для решения задач\nимпортозамещения и\xa0опережающего развития в\xa0области СВЧ-радиоэлектроники.Вадим\nИгоревич Попков родился 19\xa0октября 1988\xa0года в\xa0городе Балаково,\nСаратовская область, ведущий научный сотрудник, заведующий лабораторией\nматериалов и\xa0процессов водородной энергетики Физико-технического института имени\nА.Ф.Иоффе Российской академии наук, кандидат химических наук.Область\nнаучных интересов: физико-химическое конструирование и\xa0синтез новых\nфункциональных материалов. Публикационная активность: более 130\xa0публикаций\nв\xa0российских и\xa0зарубежных изданиях.Кирилл\nДмитриевич Мартинсон родился 27\xa0сентября 1994\xa0года в\xa0Санкт-Петербурге,\nстарший научный сотрудник лаборатории материалов и\xa0процессов водородной\nэнергетики Физико-технического института имени А.Ф.Иоффе Российской академии\nнаук, кандидат химических наук.Область\nнаучных интересов: физикохимия и\xa0технология магнитной и\xa0сверхвысокочастотной\nкерамики. Публикационная активность: более 50\xa0публикаций в\xa0российских и\xa0зарубежных изданиях.Работа\nВ.Попкова и\xa0К.Мартинсона посвящена разработке и\xa0внедрению новой технологии\nполучения ферритов (соединений оксида железа\xa0(III) с\xa0оксидами других\nпереходных металлов) и\xa0функциональной керамики на\xa0их основе. Авторы впервые\nиспользовали метод растворного горения с\xa0термической постобработкой для\nполучения ферритов и\xa0СВЧ-керамических изделий. Этот подход позволил сократить\nвремя получения материалов в\xa0несколько раз по\xa0сравнению с\xa0традиционными\nспособами получения ферритов и\xa0расширить ассортимент керамики, превосходящей по\xa0своим характеристикам зарубежные аналоги. Новая технология позволяет\nварьировать состав ферритов, добиваясь оптимальных магнитных и\xa0электромагнитных\nсвойств, что особенно важно для применения в\xa0современных радиоустройствах.Разработанные\nматериалы уже внедрены в\xa0производство и\xa0нашли своё применение на\xa0ряде ведущих\nпредприятий России, где они используются для производства различных элементов\nна\xa0основе СВЧ-керамики, в\xa0том числе в\xa0фазированных антенных решётках в\xa0радиолокационных\nсистемах. Научные результаты, полученные авторами, вносят существенный вклад в\xa0прикладное материаловедение.* * *Наталья\nИгоревна Черкашина\xa0– лауреат премии Президента Российской Федерации в\xa0области\nнауки и\xa0инноваций для молодых учёных за\xa02024\xa0годПремия\nприсуждена за\xa0создание высокоэффективных радиационно-защитных композитов для\nобеспечения безопасности космонавтов и\xa0радиоэлектронных средств космических\nаппаратов.Наталья\nИгоревна Черкашина родилась 12\xa0июня 1988\xa0года в\xa0Белгороде, ведущий\nнаучный сотрудник Белгородского государственного технологического университета имени\nВ.Г.Шухова, доктор технических наук.Область\nнаучных интересов: космическое материаловедение, радиационная физика твёрдого\nтела, физика конденсированного состояния. Публикационная активность: более\n250\xa0публикаций в\xa0российских и\xa0зарубежных изданиях.Работа\nН.Черкашиной посвящена созданию композиционных материалов космического\nназначения, способных обеспечить эффективную защиту космонавтов и\xa0радиоэлектронных средств космических аппаратов от\xa0радиации в\xa0условиях\nдлительного орбитального полёта. Н.Черкашиной\nреализована технология введения в\xa0термопластичные полимеры радиационно-защитных\nнанонаполнителей до\xa070\xa0процентов (в\xa0сравнении с\xa0ранее существующими\nаналогами, в\xa0которых содержание наполнителя составляло до\xa030\xa0процентов),\nсохраняющая механические характеристики полимеров и\xa0позволяющая в\xa0несколько раз\nувеличить радиационно-защитные свойства композиционных материалов, созданных на\xa0их основе. Н.Черкашиной\nразработаны физико-химические принципы модифицирования радиационно-защитных\nнанонаполнителей и\xa0закономерности влияния их состава на\xa0физико-технические\nсвойства композиционных материалов (термостойкость, прочность, пластичность,\nрадиационно-защитные характеристики и\xa0пр.) в\xa0условиях воздействия\nнегативных факторов космического пространства.Разработанные\nН.Черкашиной материалы уже прошли апробацию в\xa0условиях длительного орбитального\nполёта на\xa0МКС (в\xa0период с\xa02022\xa0по\xa02024\xa0г.) и\xa0подтвердили свои высокие радиационно-защитные характеристики. Использование\nматериалов, разработанных Н.Черкашиной, позволит значительно продлить срок\nнахождения космонавтов в\xa0космосе, что особо актуально для осуществления лунной\nпрограммы, а\xa0также использовать обычные промышленные микросхемы, стоимость\nкоторых в\xa0разы меньше специальной «космической» электроники.   Смотрите также  Объявлены лауреаты премии Президента в\xa0области науки и\xa0инноваций для молодых учёных за\xa02024\xa0год 5 февраля 2025 года', 'url': 'http://kremlin.ru/supplement/6265'}]"
Встреча с губернатором Тверской области Игорем Руденей,2025-02-04,4 февраля 2025 года,"Москва, Кремль","В Кремле
состоялась рабочая встреча Владимира Путина с губернатором Тверской
области Игорем Руденей.",http://kremlin.ru/events/president/news/76206,[]
Встреча с Министром просвещения Сергеем Кравцовым,2025-02-03,3 февраля 2025 года,"Москва, Кремль","Президент
провёл рабочую встречу с Министром просвещения Сергеем Кравцовым.",http://kremlin.ru/events/president/news/76193,[]
Встреча с Патриархом Московским и всея Руси Кириллом,2025-02-01,1 февраля 2025 года,"Москва, Кремль","Владимир Путин
поздравил предстоятеля Русской православной церкви с шестнадцатой годовщиной
интронизации.",http://kremlin.ru/events/president/news/76191,[]
Совещание с постоянными членами Совета Безопасности,2025-01-31,31 января 2025 года,"Московская область, Ново-Огарёво","Владимир Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/76187,[]
Встреча с Министром транспорта Романом Старовойтом,2025-01-30,30 января 2025 года,"Москва, Кремль","Глава
государства провёл рабочую встречу с Министром транспорта Российской Федерации
Романом Старовойтом.",http://kremlin.ru/events/president/news/76183,[]
Встреча с главой Дагестана Сергеем Меликовым,2025-01-29,29 января 2025 года,"Москва, Кремль",Владимир Путин провёл в Кремле рабочую встречу с главой Республики Дагестан Сергеем Меликовым.,http://kremlin.ru/events/president/news/76182,[]
Рабочая встреча с губернатором Самарской области Вячеславом Федорищевым,2025-01-28,28 января 2025 года,Тольятти,"Завершая поездку в Самарскую область, Владимир
Путин провёл отдельную встречу с главой региона Вячеславом Федорищевым.",http://kremlin.ru/events/president/news/76176,[]
Совещание по развитию беспилотных авиационных систем,2025-01-28,28 января 2025 года,Тольятти,"В Тольятти Президент провёл совещание
по вопросам развития беспилотных авиационных систем. Встреча состоялась
на базе научно-производственного центра беспилотных авиационных систем
«Самара».",http://kremlin.ru/events/president/news/76175,"[{'title': 'No title', 'date': None, 'content': 'Участники совещания по\xa0вопросу развития беспилотной авиации  28 января 2025 года     САВЕЛЬЕВ Виталий Геннадьевич\xa0– Заместитель Председателя Правительства Российской Федерации, председатель Правительственной комиссии по\xa0вопросам развития беспилотных авиационных систем, куратор национального проекта «Беспилотные авиационные системы»ОРЕШКИН Максим Станиславович\xa0– заместитель Руководителя Администрации Президента Российской ФедерацииАЛИХАНОВ Антон Андреевич\xa0– Министр промышленности и\xa0торговли Российской ФедерацииФАЛЬКОВ Валерий Николаевич\xa0– Министр науки и\xa0высшего образования Российской ФедерацииШАДАЕВ Максут Игоревич\xa0– Министр цифрового развития, связи и\xa0массовых коммуникаций Российской ФедерацииКОМАРОВ Игорь Анатольевич\xa0– полномочный представитель Президента Российской Федерации в\xa0Приволжском федеральном округеФЕДОРИЩЕВ Вячеслав Андреевич\xa0– губернатор Самарской области, председатель комиссии Государственного Совета Российской Федерации по\xa0направлению «Промышленность»СОБЯНИН Сергей Семенович\xa0– мэр МосквыКРИВОРУЧКО Алексей Юрьевич\xa0– заместитель Министра обороны Российской ФедерацииЯДРОВ Дмитрий Викторович\xa0– руководитель Федерального агентства воздушного транспортаПЕСКОВ Дмитрий Николаевич\xa0– специальный представитель Президента Российской Федерации по\xa0вопросам цифрового и\xa0технологического развития, генеральный директор АНО «Платформа Национальной технологической инициативы»ГРЕФ Герман Оскарович\xa0– президент, председатель правления ПАО «Сбербанк» ДИТРИХ Евгений Иванович\xa0– генеральный директор АО «Государственная транспортная лизинговая компания»КОЗАРЕНКО Юрий Владимирович\xa0– генеральный директор ООО «Транспорт Будущего»В\xa0режиме видеоконференции:ШАЛЬКОВ Дмитрий Владиславович\xa0– помощник Президента Российской Федерации\xa0– начальник Контрольного управления Президента Российской ФедерацииРЕШЕТНИКОВ Максим Геннадьевич\xa0– Министр экономического развития Российской ФедерацииСИЛУАНОВ Антон Германович\xa0– Министр финансов Российской ФедерацииСТАРОВОЙТ Роман Владимирович\xa0– Министр транспорта Российской ФедерацииБОРТНИКОВ Александр Васильевич\xa0– директор Федеральной службы безопасности Российской ФедерацииКОТЮКОВ Михаил Михайлович\xa0– губернатор Красноярского края, председатель комиссии Государственного Совета Российской Федерации по\xa0направлению «Технологическое лидерство»БОРИСОВ Юрий Иванович\xa0– генеральный директор Государственной корпорации по\xa0космической деятельности «Роскосмос»   Смотрите также  Совещание по\xa0развитию беспилотных авиационных систем 28 января 2025 года', 'url': 'http://kremlin.ru/supplement/6264'}]"
