title,date,raw_date,place,summary,url,supplements
Ирина Гехт назначена врио губернатора Ненецкого автономного округа,2025-03-18,18 марта 2025 года,No location,"Президент
подписал Указ «Об исполняющей обязанности Губернатора Ненецкого автономного
округа».",http://kremlin.ru/events/president/news/76478,[]
Встреча с Ириной Гехт,2025-03-18,18 марта 2025 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76479,[]
Телефонный разговор с Президентом США Дональдом Трампом,2025-03-18,18 марта 2025 года,No location,"Состоялся
телефонный разговор Владимира Путина с Президентом США Дональдом Трампом.",http://kremlin.ru/events/president/news/76477,[]
Пленарное заседание съезда РСПП,2025-03-18,18 марта 2025 года,Москва,"Владимир Путин принял участие
в работе ежегодного съезда Российского союза промышленников
и предпринимателей.",http://kremlin.ru/events/president/news/76474,[]
Встреча с губернатором Ленинградской области Александром Дрозденко,2025-03-28,28 марта 2025 года,"Москва, Кремль","Президент провёл рабочую встречу с губернатором Ленинградской области Александром Дрозденко. Обсуждались меры поддержки участников специальной военной операции, а также актуальные социально-экономические вопросы региона.",http://kremlin.ru/events/president/news/76567,[]
Совещание с постоянными членами Совета Безопасности,2025-03-28,28 марта 2025 года,"Москва, Кремль","Владимир Путин провёл
по видеосвязи оперативное совещание с постоянными членами Совета
Безопасности.",http://kremlin.ru/events/president/news/76564,[]
Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,2025-03-28,28 марта 2025 года,No location,"Состоялся
обстоятельный телефонный разговор Владимира
Путина с Президентом Турецкой Республики Реджепом Тайипом Эрдоганом.",http://kremlin.ru/events/president/news/76565,[]
Церемония запуска отгрузки угля из терминала «Лавна»,2025-03-27,27 марта 2025 года,Мурманск,"В режиме
видеоконференции Владимир Путин принял участие в церемонии начала отгрузки
первой партии угля из перевалочного комплекса «Лавна».",http://kremlin.ru/events/president/news/76559,[]
Встреча с участниками детских экспедиций «Росатома» на Северный полюс,2025-03-27,27 марта 2025 года,Мурманск,,http://kremlin.ru/events/president/news/76560,[]
Посещение Штаба морских операций «Атомфлота»,2025-03-27,27 марта 2025 года,Мурманск,,http://kremlin.ru/events/president/news/76558,[]
Владимир Путин посетил атомный подводный крейсер «Архангельск»,2025-03-27,27 марта 2025 года,Мурманск,"Президент
осмотрел центральный командный пост крейсера, каюту размещения экипажа
и места хранения вооружения, а также пообщался с личным
составом.",http://kremlin.ru/events/president/news/76557,[]
Спуск на воду атомного подводного крейсера «Пермь»,2025-03-27,27 марта 2025 года,Мурманск,"На территории
«Атомфлота» Владимир Путин по видеосвязи принял участие
в торжественной церемонии спуска на воду нового атомного подводного
крейсера «Пермь».",http://kremlin.ru/events/president/news/76556,[]
Встреча с губернатором Мурманской области Андреем Чибисом,2025-03-27,27 марта 2025 года,Мурманск,"Губернатор
доложил Президенту о различных аспектах социально-экономического развития
области и отдельно информировал о региональной поддержке участников СВО.",http://kremlin.ru/events/president/news/76555,[]
Международный форум «Арктика – территория диалога»,2025-03-27,27 марта 2025 года,Мурманск,"Владимир
Путин выступил на пленарном заседании VI Международного арктического форума
«Арктика – территория диалога».",http://kremlin.ru/events/president/news/76554,[]
