title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Пленарное заседание Форума будущих технологий,2025-02-21,21 февраля 2025 года,Москва,Владимир Путин принял участие в пленарном заседании Форума будущих технологий. Мероприятие проходит в Центре международной торговли в Москве.,http://kremlin.ru/events/president/news/76304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Узбекистана Шавкатом Мирзиёевым,2025-02-21,21 февраля 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Республики Узбекистан Шавкатом Мирзиёевым.,http://kremlin.ru/events/president/news/76303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главным раввином России Берлом Лазаром и президентом Федерации еврейских общин России Александром Бородой,2025-02-20,20 февраля 2025 года,"Москва, Кремль",В Кремле состоялась встреча Владимира Путина с главным раввином России Берлом Лазаром и президентом Федерации еврейских общин России Александром Бородой.,http://kremlin.ru/events/president/news/76302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Телефонный разговор с Наследным принцем, Председателем Совета министров Саудовской Аравии Мухаммедом Бен Сальманом Аль Саудом",2025-02-20,20 февраля 2025 года,No location,,http://kremlin.ru/events/president/news/76301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Совещание судей судов общей юрисдикции, военных и арбитражных судов",2025-02-20,20 февраля 2025 года,Москва,"Президент принял участие в ежегодном совещании судей судов общей юрисдикции, военных и арбитражных судов Российской Федерации.",http://kremlin.ru/events/president/news/76296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Выступление на концерте, посвящённом памяти Анатолия Собчака",2025-02-19,19 февраля 2025 года,Санкт-Петербург,"Владимир Путин выступил на концерте, посвящённом памяти первого мэра Санкт-Петербурга Анатолия Собчака. Мероприятие прошло в Санкт-Петербургской академической филармонии имени Д.Д.Шостаковича.",http://kremlin.ru/events/president/news/76290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Коллектив НПП «Радар ммс» награждён орденом Александра Невского,2025-02-19,19 февраля 2025 года,Санкт-Петербург,Владимир Путин вручил коллективу научно-производственного предприятия «Радар ммс» орден Александра Невского – за высокие достижения в обеспечении оборонного потенциала Российской Федерации.,http://kremlin.ru/events/president/news/76287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ответы на вопросы представителей СМИ,2025-02-19,19 февраля 2025 года,Санкт-Петербург,В ходе посещения НПП «Радар ммс» Президент ответил на ряд вопросов представителей российских СМИ.,http://kremlin.ru/events/president/news/76288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение НПП «Радар ммс»,2025-02-19,19 февраля 2025 года,Санкт-Петербург,"В Санкт-Петербурге Владимир Путин посетил научно-производственное предприятие «Радар ммс», специализирующееся на разработке систем самонаведения высокоточного оружия, радиолокационных систем, беспилотных летательных аппаратов военного и гражданского назначения.",http://kremlin.ru/events/president/news/76285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Возложение цветов к памятнику первому мэру Санкт-Петербурга Анатолию Собчаку,2025-02-19,19 февраля 2025 года,Санкт-Петербург,,http://kremlin.ru/events/president/news/76284,http://kremlin.ru/supplement/6268,АЛЕКСАНДРОВ Алексей Иванович – заслуженный юрист Российской Федерации,БОГОМОЛОВ Константин Юрьевич – художественный руководитель Театра на Малой Бронной,"ГРЕФ Герман Оскарович – президент, председатель правления ПАО «Сбербанк»",ЗИЛЬБЕРКВИТ Марк Александрович – президент Международного некоммерческого фонда П.И.Чайковского,ЗИЛЬБЕРКВИТ Елена Самуиловна – супруга М.А.Зильберквита,КОЗАК Дмитрий Николаевич – заместитель Руководителя Администрации Президента Российской Федерации,КРОПАЧЕВ Николай Михайлович – ректор Санкт-Петербургского государственного университета,КУДРИН Алексей Леонидович – советник по корпоративному развитию компании «Яндекс»,ЛИТВАК Мишель – генеральный директор компании «ОТЭКО»,МЕЗЕНЦЕВ Дмитрий Фёдорович – Государственный секретарь Союзного государства,МЕТКИНА Светлана Александровна – супруга М.Литвака,НАРУСОВА Людмила Борисовна – президент Санкт-Петербургского общественного фонда Анатолия Собчака,СОБЧАК Ксения Анатольевна – вице-президент Санкт-Петербургского общественного фонда Анатолия Собчака,ГУЦАН Александр Владимирович – полномочный представитель Президента Российской Федерации в Северо-Западном федеральном округе,БЕГЛОВ Александр Дмитриевич – губернатор Санкт-Петербурга,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Казахстана Касым-Жомартом Токаевым,2025-03-06,6 марта 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Республики Казахстан Касым-Жомартом Токаевым.,http://kremlin.ru/events/president/news/76417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с вдовой Героя России Сергея Чебнёва,2025-03-06,6 марта 2025 года,"Москва, Кремль","Владимир Путин встретился с вдовой Героя России Сергея Чебнёва Ольгой. Президент передал ей медаль «Золотая звезда», которой её супруг был удостоен посмертно.",http://kremlin.ru/events/president/news/76416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Александр Дарчиев назначен Чрезвычайным и Полномочным Послом России в США,2025-03-06,6 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с избранным Президентом Абхазии Бадрой Гунбой,2025-03-05,5 марта 2025 года,"Москва, Кремль",В Кремле состоялась встреча Владимира Путина с избранным Президентом Абхазии Бадрой Гунбой.,http://kremlin.ru/events/president/news/76410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с членами Правительства,2025-03-05,5 марта 2025 года,"Москва, Кремль",Президент по видеосвязи провёл совещание с членами Правительства.,http://kremlin.ru/events/president/news/76409,http://kremlin.ru/supplement/6275,МИШУСТИН Михаил Владимирович – Председатель Правительства Российской Федерации,ВАЙНО Антон Эдуардович – Руководитель Администрации Президента Российской Федерации,МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации,ГОЛИКОВА Татьяна Алексеевна – Заместитель Председателя Правительства Российской Федерации,ГРИГОРЕНКО Дмитрий Юрьевич – Заместитель Председателя Правительства Российской Федерации – Руководитель Аппарата Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,ОВЕРЧУК Алексей Логвинович – Заместитель Председателя Правительства Российской Федерации,ПАТРУШЕВ Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации,ТРУТНЕВ Юрий Петрович – Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,КРАСНОВ Игорь Викторович – Генеральный прокурор Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,КОЛОКОЛЬЦЕВ Владимир Александрович – Министр внутренних дел Российской Федерации,НАБИУЛЛИНА Эльвира Сахипзадовна – Председатель Центрального банка Российской Федерации,БОРТНИКОВ Александр Васильевич – директор Федеральной службы безопасности Российской Федерации,БАСТРЫКИН Александр Иванович – Председатель Следственного комитета Российской Федерации,"ТЕКСЛЕР Алексей Леонидович – губернатор Челябинской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Экономика и финансы»",КУЗНЕЦОВ Михаил Михайлович – руководитель исполнительного комитета Общероссийского общественного движения «Народный фронт «За Россию»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Расширенное заседание коллегии МВД,2025-03-05,5 марта 2025 года,Москва,Владимир Путин выступил на ежегодном расширенном заседании коллегии Министерства внутренних дел России.,http://kremlin.ru/events/president/news/76408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Заявления по итогам российско-мьянманских переговоров,2025-03-04,4 марта 2025 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Переговоры с Премьер-министром Мьянмы Мин Аун Хлайном,2025-03-04,4 марта 2025 года,"Москва, Кремль","В Кремле прошли переговоры Президента России Владимира Путина с Председателем Государственного административного совета, Премьер-министром Республики Союз Мьянма Мин Аун Хлайном, прибывшим в Россию с официальным визитом.",http://kremlin.ru/events/president/news/76403,http://kremlin.ru/supplement/6272,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,"РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации, сопредседатель Межправительственной Российско-Мьянманской комиссии по торгово-экономическому сотрудничеству",СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой Татарстана Рустамом Миннихановым,2025-03-03,3 марта 2025 года,"Москва, Кремль",Владимир Путин принял в Кремле главу Республики Татарстан. Рустам Минниханов информировал Президента об экономическом развитии региона.,http://kremlin.ru/events/president/news/76389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Владимир Путин поговорил по телефону с Лидией Евтюхиной,2025-03-01,1 марта 2025 года,No location,"В 25-ю годовщину подвига воинов-десантников героической 6-й парашютно-десантной роты Владимир Путин позвонил по телефону Лидии Евтюхиной, потерявшей в 2000 году сына – командира батальона Героя России Марка Евтюхина.",http://kremlin.ru/events/president/news/76372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 марта Владимир Путин встретится с Премьер-министром Мьянмы Мин Аун Хлайном,,No date,No location,"4 марта Владимир Путин проведёт переговоры с Председателем Государственного административного совета, Премьер-министром Республики Союз Мьянма Мин Аун Хлайном, который посетит Россию с официальным визитом.",http://kremlin.ru/events/president/news/76347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Иркутской области Игорем Кобзевым,2025-02-28,28 февраля 2025 года,"Москва, Кремль","Губернатор доложил Президенту о результатах социально-экономического развития области, в том числе о восстановлении пострадавшего от наводнения в 2019 году города Тулуна. Обсуждалась также подготовка к празднованию 80-летия Победы в Великой Отечественной войне, помощь участникам СВО и их семьям. Отдельно затронуты вопросы расселения аварийного жилья и увеличения количества персонала медучреждений.",http://kremlin.ru/events/president/news/76346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Встреча с членом Политбюро, Секретарём Центрального комитета Трудовой партии Кореи Ли Хи Ёном",2025-02-27,27 февраля 2025 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Заседание коллегии ФСБ России,2025-02-27,27 февраля 2025 года,Москва,Владимир Путин выступил на заседании коллегии Федеральной службы безопасности Российской Федерации.,http://kremlin.ru/events/president/news/76338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Поздравление военнослужащим и ветеранам Сил специальных операций Вооружённых Сил России,2025-02-27,27 февраля 2025 года,No location,,http://kremlin.ru/events/president/news/76335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Российско-бисайские переговоры,2025-02-26,26 февраля 2025 года,"Москва, Кремль","В Кремле прошли переговоры Владимира Путина с Президентом Республики Гвинея-Бисау Умару Сиссоку Эмбало, который находится в России с государственным визитом.",http://kremlin.ru/events/president/news/76334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 февраля состоятся переговоры Владимира Путина с Президентом Республики Гвинея-Бисау Умару Сиссоку Эмбало,,No date,No location,,http://kremlin.ru/events/president/news/76333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой правления компании «Остров мечты» Амираном Муцоевым,2025-02-25,25 февраля 2025 года,"Москва, Кремль","Владимир Путин провёл рабочую встречу с основателем группы компаний «Регионы», председателем правления холдинговой компании «Остров мечты» Амираном Муцоевым.",http://kremlin.ru/events/president/news/76332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ответы на вопросы журналиста Павла Зарубина,2025-02-24,24 февраля 2025 года,"Московская область, Ново-Огарёво",,http://kremlin.ru/events/president/news/76331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Церемония по случаю начала строительства в Таджикистане объектов культуры,2025-03-17,17 марта 2025 года,"Москва, Кремль",Владимир Путин и Эмомали Рахмон по видеосвязи приняли участие в торжественной церемонии начала строительства в Душанбе Международного образовательного центра для одарённых детей и нового здания Государственного русского драматического театра имени Владимира Маяковского.,http://kremlin.ru/events/president/news/76468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Российско-таджикистанские переговоры,2025-03-17,17 марта 2025 года,"Москва, Кремль","В Кремле прошли переговоры Владимира Путина с Президентом Республики Таджикистан Эмомали Рахмоном, который находится в России с официальным визитом.",http://kremlin.ru/events/president/news/76465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Телефонный разговор Владимира Путина, Александра Лукашенко, Эмомали Рахмона с Ильхамом Алиевым",2025-03-15,15 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-03-14,14 марта 2025 года,"Московская область, Ново-Огарёво",Владимир Путин провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Переговоры с Президентом Венесуэлы Николасом Мадуро,2025-03-14,14 марта 2025 года,"Московская область, Ново-Огарёво",Владимир Путин в режиме видеоконференции провёл переговоры с Президентом Венесуэлы Николасом Мадуро. Консультации приурочены к 80-летию установления дипломатических отношений между Россией и Венесуэлой.,http://kremlin.ru/events/president/news/76458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Премьер-министром Армении Николом Пашиняном,2025-03-14,14 марта 2025 года,No location,По инициативе армянской стороны состоялся телефонный разговор Владимира Путина с Премьер-министром Республики Армения Николом Пашиняном.,http://kremlin.ru/events/president/news/76457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Телефонный разговор с Наследным принцем, Председателем Совета министров Саудовской Аравии Мухаммедом Бен Сальманом Аль Саудом",2025-03-13,13 марта 2025 года,No location,"Состоялся телефонный разговор Владимира Путина с Наследным принцем, Председателем Совета министров Саудовской Аравии Мухаммедом Бен Сальманом Аль Саудом.",http://kremlin.ru/events/president/news/76452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совместная пресс-конференция с Президентом Белоруссии Александром Лукашенко,2025-03-13,13 марта 2025 года,"Москва, Кремль",,http://kremlin.ru/events/president/news/76450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Российско-белорусские переговоры,2025-03-13,13 марта 2025 года,"Москва, Кремль","В Кремле прошли переговоры Владимира Путина с Президентом Республики Беларусь Александром Лукашенко, который находится в России с официальным визитом.",http://kremlin.ru/events/president/news/76448,http://kremlin.ru/supplement/6277,ЛАВРОВ Сергей Викторович – Министр иностранных дел Российской Федерации,МАНТУРОВ Денис Валентинович – Первый заместитель Председателя Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,"ОВЕРЧУК Алексей Логвинович – Заместитель Председателя Правительства Российской Федерации, сопредседатель Группы высокого уровня Совета Министров Союзного государства",ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,ПЕСКОВ Дмитрий Сергеевич – заместитель Руководителя Администрации Президента Российской Федерации – пресс-секретарь Президента Российской Федерации,УШАКОВ Юрий Викторович – помощник Президента Российской Федерации,ГРЫЗЛОВ Борис Вячеславович – Чрезвычайный и Полномочный Посол Российской Федерации в Республике Белоруссия,АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ШУГАЕВ Дмитрий Евгеньевич – директор Федеральной службы по военно-техническому сотрудничеству,ФОМИН Александр Васильевич – заместитель Министра обороны Российской Федерации,ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,КАРАНКЕВИЧ Виктор Михайлович – Заместитель Премьер-министра Республики Белоруссия,РЫЖЕНКОВ Максим Владимирович – Министр иностранных дел Республики Белоруссия,КУШНАРЕНКО Алексей Иванович – Министр энергетики Республики Белоруссия,СЕЛИВЁРСТОВ Юрий Михайлович – Министр финансов Республики Белоруссия,ЕФИМОВ Александр Владимирович – Министр промышленности Республики Белоруссия,ИКАН Илья Валерьевич – председатель Белорусского государственного концерна по нефти и химии,КАРПОВИЧ Артур Борисович – Министр антимонопольного регулирования и торговли Республики Белоруссия,ШЛЫЧКОВ Сергей Владимирович – председатель Государственного комитета по науке и технологиям Республики Белоруссия,МАТУСЕВИЧ Дмитрий Феофанович – председатель Государственного комитета по имуществу Республики Белоруссия,РОГОЖНИК Александр Николаевич – Чрезвычайный и Полномочный Посол Республики Белоруссия в Российской Федерации,МЕЗЕНЦЕВ Дмитрий Федорович – Государственный секретарь Союзного государства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение пункта управления Курской группировкой,2025-03-12,12 марта 2025 года,Курская область,Владимир Путин провёл совещание на одном из пунктов управления Курской группировкой. Верховный Главнокомандующий заслушал доклад начальника Генерального штаба Вооружённых Сил России – первого заместителя Министра обороны Валерия Герасимова.,http://kremlin.ru/events/president/news/76446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 марта состоятся переговоры Владимира Путина с Президентом Белоруссии Александром Лукашенко,,No date,No location,,http://kremlin.ru/events/president/news/76445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Архангельской области Александром Цыбульским,2025-03-11,11 марта 2025 года,"Москва, Кремль",Глава региона доложил Президенту о социально-экономическом развитии Архангельской области.,http://kremlin.ru/events/president/news/76442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Президенту доложено о ночной атаке украинских БПЛА,2025-03-11,11 марта 2025 года,No location,Владимир Путин получил доклады об атаке украинских беспилотных летательных аппаратов на регионы России в ночь на 11 марта.,http://kremlin.ru/events/president/news/76441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Образована комиссия Госсовета по вопросам поддержки ветеранов боевых действий – участников СВО и членов их семей,2025-03-10,10 марта 2025 года,No location,Владимир Путин подписал Указ «О комиссии Государственного Совета Российской Федерации по вопросам поддержки ветеранов боевых действий – участников специальной военной операции и членов их семей».,http://kremlin.ru/events/president/news/76429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с губернатором Пермского края Дмитрием Махониным,2025-03-10,10 марта 2025 года,"Москва, Кремль","Обсуждалась социально-экономическая ситуация в регионе с акцентом на сферы образования, здравоохранения, жилищного строительства и промышленного производства.",http://kremlin.ru/events/president/news/76428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Поздравление российским женщинам с 8 Марта,2025-03-08,8 марта 2025 года,No location,Владимир Путин поздравил российских женщин с праздником – Международным женским днём.,http://kremlin.ru/events/president/news/76424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Телефонный разговор с Президентом Сербии Александром Вучичем,2025-03-07,7 марта 2025 года,No location,Состоялся телефонный разговор Владимира Путина с Президентом Республики Сербии Александром Вучичем.,http://kremlin.ru/events/president/news/76422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Совещание с постоянными членами Совета Безопасности,2025-03-07,7 марта 2025 года,"Москва, Кремль",Владимир Путин провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности.,http://kremlin.ru/events/president/news/76420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с сотрудниками и подопечными фонда «Защитники Отечества»,2025-03-06,6 марта 2025 года,Москва,В преддверии 8 Марта Владимир Путин провёл встречу с женщинами – сотрудниками и подопечными государственного фонда поддержки участников специальной военной операции «Защитники Отечества».,http://kremlin.ru/events/president/news/76418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение Единого центра поддержки участников СВО,2025-03-06,6 марта 2025 года,Москва,Владимир Путин осмотрел Единый центр поддержки участников СВО и членов их семей – московский филиал государственного фонда «Защитники Отечества».,http://kremlin.ru/events/president/news/76419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение Национального центра «Россия»,2025-03-26,26 марта 2025 года,Москва,Владимир Путин посетил Национальный центр «Россия» на Краснопресненской набережной в Москве.,http://kremlin.ru/events/president/news/76538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Согласованный между российской и американской сторонами перечень российских и украинских объектов, подпадающих под действие временного моратория на удары по энергосистеме",2025-03-25,25 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Основные итоги встречи экспертных групп России и США,2025-03-25,25 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
