title,date,raw_date,place,summary,url,supplement_url,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Name_13,Name_14,Name_15,Name_16,Name_17,Name_18,Name_19,Name_20,Name_21,Name_22,Name_23,Name_24,Name_25,Name_26,Name_27,Name_28,Name_29,Name_30,Name_31,Name_32,Name_33,Name_34,Name_35,Name_36,Name_37,Name_38,Name_39,Name_40,Name_41,Name_42,Name_43,Name_44,Name_45,Name_46,Name_47,Name_48,Name_49,Name_50,Name_51,Name_52,Name_53,Name_54,Name_55,Name_56,Name_57,Name_58,Name_59,Name_60,Name_61,Name_62,Name_63,Name_64
Совещание по вопросам развития Арктической зоны и Арктического транспортного коридора,2025-03-27,27 марта 2025 года,Мурманск,Владимир Путин провёл совещание по вопросам развития Арктической зоны Российской Федерации и Арктического транспортного коридора.,http://kremlin.ru/events/president/news/76553,http://kremlin.ru/supplement/6287,САВЕЛЬЕВ Виталий Геннадьевич – Заместитель Председателя Правительства Российской Федерации,ТРУТНЕВ Юрий Петрович – Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,ОРЕШКИН Максим Станиславович – заместитель Руководителя Администрации Президента Российской Федерации,ДЮМИН Алексей Геннадьевич – помощник Президента Российской Федерации,"ПАТРУШЕВ Николай Платонович – помощник Президента Российской Федерации, председатель Морской коллегии",АЛИХАНОВ Антон Андреевич – Министр промышленности и торговли Российской Федерации,ЧЕКУНКОВ Алексей Олегович – Министр Российской Федерации по развитию Дальнего Востока и Арктики,ГУЦАН Александр Владимирович – полномочный представитель Президента Российской Федерации в Северо-Западном федеральном округе,КОТЮКОВ Михаил Михайлович – губернатор Красноярского края,ЦЫБУЛЬСКИЙ Александр Витальевич – губернатор Архангельской области,"ЧИБИС Андрей Владимирович – губернатор Мурманской области, председатель комиссии Государственного Совета Российской Федерации по направлению «Северный морской путь и Арктика»",АРТЮХОВ Дмитрий Андреевич – губернатор Ямало-Ненецкого автономного округа,ЛЕВИТИН Игорь Евгеньевич – советник Президента Российской Федерации,МОИСЕЕВ Александр Алексеевич – главнокомандующий Военно-Морским Флотом,"ДМИТРИЕВ Кирилл Александрович – генеральный директор Российского фонда прямых инвестиций, спецпредставитель Президента Российской Федерации по инвестиционно-экономическому сотрудничеству с зарубежными странами",ДЮКОВ Александр Валерьевич – председатель правления ПАО «Газпром нефть»,КОСТИН Андрей Леонидович – президент – председатель правления ПАО «Банк ВТБ»,ЛИХАЧЁВ Алексей Евгеньевич – генеральный директор Государственной корпорации по атомной энергии «Росатом»,МИХЕЛЬСОН Леонид Викторович – председатель правления ПАО «НОВАТЭК»,ТРОЦЕНКО Роман Викторович – председатель совета директоров ООО «Инфраструктурная корпорация «АЕОН»,ФОТИН Георгий Владимирович – генеральный директор ООО «Управляющая компания Баимская»,ФРАНК Сергей Оттович – председатель совета директоров Государственной судоходной компании «Совкомфлот»,МЕНЖИНСКИЙ Сергей Юрьевич – первый вице-президент по экономике и финансам ПАО «НК «Роснефть»,ГОЛИКОВА Татьяна Алексеевна – Заместитель Председателя Правительства Российской Федерации,НОВАК Александр Валентинович – Заместитель Председателя Правительства Российской Федерации,ПАТРУШЕВ Дмитрий Николаевич – Заместитель Председателя Правительства Российской Федерации,ХУСНУЛЛИН Марат Шакирзянович – Заместитель Председателя Правительства Российской Федерации,"КУРЕНКОВ Александр Вячеславович – Министр Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",РЕШЕТНИКОВ Максим Геннадьевич – Министр экономического развития Российской Федерации,СИЛУАНОВ Антон Германович – Министр финансов Российской Федерации,ПАРФЕНЧИКОВ Артур Олегович – глава Республики Карелия,ГОЛЬДШТЕЙН Ростислав Эрнстович – временно исполняющий обязанности главы Республики Коми,НИКОЛАЕВ Айсен Сергеевич – глава Республики Саха (Якутия),ГЕХТ Ирина Альфредовна – временно исполняющая обязанности губернатора Ненецкого автономного округа,КУХАРУК Руслан Николаевич – губернатор Ханты-Мансийского автономного округа – Югры,КУЗНЕЦОВ Владислав Гариевич – губернатор Чукотского автономного округа,БЕЛОЗЁРОВ Олег Валентинович – генеральный директор – председатель правления ОАО «Российские железные дороги»,ДИТРИХ Евгений Иванович – генеральный директор АО «Государственная транспортная лизинговая компания»,МАРКЕЛОВ Виталий Анатольевич – заместитель председателя правления ПАО «Газпром»,УТКИН Николай Николаевич – старший вице-президент ПАО «ГМК «Норильский никель»,ЦЕХОМСКИЙ Николай Викторович – первый заместитель председателя – член правления Государственной корпорации «ВЭБ.РФ»,,,,,,,,,,,,,,,,,,,,,,,
Презентация мастер-планов опорных населённых пунктов Арктической зоны,2025-03-27,27 марта 2025 года,Мурманск,Главе государства представлены мастер-планы опорных населённых пунктов Арктической зоны Российской Федерации.,http://kremlin.ru/events/president/news/76552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Посещение мемориального комплекса «Защитникам Заполярья»,2025-03-27,27 марта 2025 года,Мурманск,Рабочая поездка Владимира Путина в Мурманск началась с посещения мемориального комплекса «Защитникам Заполярья». Глава государства возложил цветы к монументу «Защитникам Советского Заполярья в годы Великой Отечественной войны».,http://kremlin.ru/events/president/news/76551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Поздравление с Днём войск национальной гвардии,2025-03-27,27 марта 2025 года,No location,,http://kremlin.ru/events/president/news/76547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с главой Чувашии Олегом Николаевым,2025-03-26,26 марта 2025 года,"Москва, Кремль","Владимир Путин принял в Кремле главу Чувашской Республики Олега Николаева, которой доложил о социально-экономическом развитии региона. Президент поддержал намерение Олега Николаева баллотироваться на второй срок.",http://kremlin.ru/events/president/news/76550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евгений Солнцев назначен временно исполняющим обязанности губернатора Оренбургской области,2025-03-26,26 марта 2025 года,No location,Владимир Путин подписал Указ «Об исполняющем обязанности Губернатора Оренбургской области».,http://kremlin.ru/events/president/news/76540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Денис Паслер назначен временно исполняющим обязанности губернатора Свердловской области,2025-03-26,26 марта 2025 года,No location,Владимир Путин подписал Указ «Об исполняющем обязанности Губернатора Свердловской области».,http://kremlin.ru/events/president/news/76541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Евгением Солнцевым,2025-03-26,26 марта 2025 года,"Москва, Кремль",Владимир Путин принял в Кремле председателя правительства ДНР Евгения Солнцева и предложил ему стать временно исполняющим обязанности губернатора Оренбургской области.,http://kremlin.ru/events/president/news/76549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Встреча с Денисом Паслером,2025-03-26,26 марта 2025 года,"Москва, Кремль",Владимир Путин встретился в Кремле с Денисом Паслером и предложил ему стать временно исполняющим обязанности губернатора Свердловской области.,http://kremlin.ru/events/president/news/76548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Выступление на церемонии открытия съезда «Движения первых»,2025-03-26,26 марта 2025 года,Москва,Владимир Путин выступил на церемонии открытия IV съезда Общероссийского общественно-государственного движения детей и молодёжи «Движение первых».,http://kremlin.ru/events/president/news/76542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
